16601 1.82196  -49.4351
16701 1.79694  -49.4416
16801 1.80499  -49.4742
16901 1.80584  -49.4741
17001 1.8017  -49.4815
17101 1.80129  -49.4375
17201 1.79965  -49.4179
17301 1.81662  -49.4196
17401 1.82708  -49.4311
17501 1.78846  -49.399
17601 1.80391  -49.4257
17701 1.80523  -49.4937
17801 1.83472  -49.4855
17901 1.83138  -49.4665
18001 1.80605  -49.4612
18101 1.82139  -49.5029
18201 1.82192  -49.5067
18301 1.84258  -49.5279
18401 1.83703  -49.4981
18501 1.83111  -49.4785
18601 1.85263  -49.5067
18701 1.83932  -49.4906
18801 1.85164  -49.4828
18901 1.87831  -49.5287
19001 1.85803  -49.5168
19101 1.85456  -49.5069
19201 1.85923  -49.4949
19301 1.87384  -49.4854
19401 1.867  -49.4887
19501 1.85227  -49.5228
19601 1.87623  -49.5553
19701 1.87241  -49.5852
19801 1.84918  -49.6129
19901 1.83916  -49.5918
20001 1.84497  -49.5854
20101 1.86168  -49.622
20201 1.85483  -49.6374
20301 1.86478  -49.6524
20401 1.84822  -49.6647
20501 1.84626  -49.6507
20601 1.84755  -49.6566
20701 1.83344  -49.6598
20801 1.86439  -49.6716
20901 1.84547  -49.6598
21001 1.83884  -49.6661
21101 1.84012  -49.6423
21201 1.86191  -49.6114
21301 1.8725  -49.6414
21401 1.87157  -49.6324
21501 1.8578  -49.6473
21601 1.86075  -49.6645
21701 1.8553  -49.6587
21801 1.88353  -49.6908
21901 1.83657  -49.6958
22001 1.86487  -49.7382
22101 1.86571  -49.7324
22201 1.90706  -49.7478
22301 1.86615  -49.7585
22401 1.85505  -49.7581
22501 1.8754  -49.756
22601 1.85966  -49.7342
22701 1.87805  -49.7476
22801 1.85292  -49.7249
22901 1.88208  -49.7285
23001 1.86047  -49.6932
23101 1.86184  -49.7209
23201 1.84786  -49.7198
23301 1.87164  -49.7357
23401 1.88633  -49.7613
23501 1.89491  -49.7101
23601 1.89032  -49.7014
23701 1.89547  -49.7253
23801 1.89167  -49.7347
23901 1.86443  -49.7284
24001 1.87274  -49.7042
24101 1.86219  -49.7037
24201 1.86718  -49.6977
24301 1.89682  -49.7778
24401 1.89893  -49.815
24501 1.91405  -49.8273
24601 1.90757  -49.8629
24701 1.90689  -49.8704
24801 1.88986  -49.8606
24901 1.89298  -49.889
25001 1.89871  -49.9128
25101 1.9127  -49.9281
25201 1.92929  -49.9529
25301 1.93207  -49.9552
25401 1.89367  -49.9704
25501 1.89026  -49.9948
25601 1.88613  -49.9923
25701 1.90229  -50.0079
25801 1.90715  -49.9988
25901 1.87466  -49.9863
26001 1.9047  -49.9934
26101 1.91542  -49.983
26201 1.89489  -49.9651
26301 1.90852  -49.9647
26401 1.91477  -49.9847
26501 1.90842  -50.0029
26601 1.89827  -50.0392
26701 1.90563  -50.0305
26801 1.90864  -50.0574
26901 1.90287  -50.0642
27001 1.90307  -50.0566
27101 1.8764  -50.0461
27201 1.90996  -50.0668
27301 1.92132  -50.0369
27401 1.90641  -50.0528
27501 1.91029  -50.0362
27601 1.88588  -50.0342
27701 1.89853  -50.0388
27801 1.91178  -50.065
27901 1.90447  -50.0766
28001 1.91255  -50.0946
28101 1.90105  -50.134
28201 1.89678  -50.129
28301 1.92162  -50.1533
28401 1.92297  -50.1368
28501 1.90168  -50.1332
28601 1.89757  -50.1486
28701 1.90382  -50.16
28801 1.91814  -50.2233
28901 1.92044  -50.2359
29001 1.91133  -50.2618
29101 1.91956  -50.2664
29201 1.92269  -50.2516
29301 1.91468  -50.23
29401 1.918  -50.2314
29501 1.90313  -50.2224
29601 1.90639  -50.2103
29701 1.89712  -50.2188
29801 1.91925  -50.2204
29901 1.9114  -50.2033
30001 1.89776  -50.2538
30101 1.88657  -50.251
30201 1.92323  -50.2915
30301 1.90777  -50.3047
30401 1.91956  -50.3375
30501 1.9401  -50.3229
30601 1.92784  -50.3195
30701 1.90454  -50.2883
30801 1.95122  -50.2934
30901 1.90036  -50.2814
31001 1.9071  -50.2438
31101 1.90841  -50.2244
31201 1.93573  -50.2382
31301 1.93973  -50.2733
31401 1.93357  -50.3011
31501 1.94697  -50.2922
31601 1.94468  -50.3161
31701 1.94967  -50.2807
31801 1.93978  -50.3001
31901 1.93456  -50.2487
32001 1.92231  -50.2557
32101 1.92887  -50.2757
32201 1.92543  -50.2768
32301 1.94368  -50.2879
32401 1.9924  -50.2941
32501 1.98929  -50.2754
32601 1.95053  -50.2838
32701 1.94983  -50.3229
32801 1.94258  -50.331
32901 1.95763  -50.3521
33001 1.95848  -50.3736
33101 2.00123  -50.3907
33201 2.02327  -50.3955
33301 1.9579  -50.3688
33401 2.00059  -50.4175
33501 1.98618  -50.4275
33601 1.96513  -50.4098
33701 1.9904  -50.4446
33801 1.96138  -50.4541
33901 1.95989  -50.4797
34001 1.95532  -50.4617
34101 1.98161  -50.4885
34201 1.96267  -50.4456
34301 1.96526  -50.4704
34401 1.94376  -50.4744
34501 1.95205  -50.47
34601 2.00159  -50.4879
34701 1.99308  -50.5292
34801 2.00914  -50.5251
34901 1.99121  -50.5537
35001 2.01797  -50.5796
35101 2.00077  -50.6207
35201 1.97272  -50.6114
35301 2.00387  -50.5797
35401 1.97277  -50.5891
35501 1.97012  -50.6171
35601 1.99304  -50.6337
35701 2.01086  -50.6355
35801 1.9878  -50.6231
35901 1.98602  -50.6242
36001 2.0127  -50.6588
36101 1.97369  -50.6528
36201 1.98402  -50.6689
36301 1.97662  -50.6752
36401 1.99849  -50.6846
36501 1.97931  -50.6532
36601 1.98519  -50.6078
36701 2.0135  -50.5926
